Date,Time,Open,High,Low,Close,Volume
2024.01.24,14:00,17519.38,17530.38,17516,17526.5,1010
2024.01.24,14:30,17526.38,17545.25,17526,17537.38,1049
2024.01.24,15:00,17538,17564.75,17536.75,17563,1407
2024.01.24,15:30,17562.88,17566.5,17530.38,17538.75,1238
2024.01.24,16:00,17538.13,17568.25,17535.5,17566.38,1297
2024.01.24,16:30,17567.5,17570.75,17513.5,17545.13,15556
2024.01.24,17:00,17544.75,17592.82,17513.53,17590.22,9079
2024.01.24,17:30,17590.59,17640.63,17583.8,17611.62,6872
2024.01.24,18:00,17611.99,17618.93,17564.47,17584.2,6491
2024.01.24,18:30,17584.57,17628.96,17577.26,17624.56,4713
2024.01.24,19:00,17624.93,17648.48,17610.56,17637.09,3992
2024.01.24,19:30,17637.47,17667.04,17637.47,17659.1,3261
2024.01.24,20:00,17658.61,17659.1,17593.38,17633.06,6059
2024.01.24,20:30,17633.56,17635.04,17570.5,17588.52,5883
2024.01.24,21:00,17589.02,17593.09,17507.57,17522.3,6544
2024.01.24,21:30,17522.67,17566.32,17513.39,17540.31,5505
2024.01.24,22:00,17539.82,17558.76,17491.57,17493.68,6512
2024.01.24,22:30,17494.05,17541.46,17481.24,17502.4,7000
2024.01.24,23:00,17502.03,17510.21,17445.89,17471.1,2226
2024.01.24,23:30,17471.59,17509.45,17470.48,17505.74,1010
2024.01.25,1:00,17499.75,17508.13,17490.25,17490.25,920
2024.01.25,1:30,17490.88,17500.5,17486.25,17497.13,872
2024.01.25,2:00,17496.75,17497.63,17479.5,17488.75,1049
2024.01.25,2:30,17489.13,17501.25,17486.75,17501.13,776
2024.01.25,3:00,17501.75,17514,17482.13,17485.75,1130
2024.01.25,3:30,17485,17495.13,17472.75,17489.88,1262
2024.01.25,4:00,17489.75,17499.63,17483.25,17494.25,1127
2024.01.25,4:30,17493.63,17494.38,17471.5,17483.75,927
2024.01.25,5:00,17484.63,17488.75,17475.5,17482.5,811
2024.01.25,5:30,17483.13,17490.63,17482,17487.5,619
2024.01.25,6:00,17487.13,17498.75,17485.75,17497.75,530
2024.01.25,6:30,17497.13,17499.63,17491.63,17491.75,501
2024.01.25,7:00,17492.13,17498.63,17486.25,17496.63,850
2024.01.25,7:30,17496.38,17509.38,17494.25,17507.75,816
2024.01.25,8:00,17507,17508.75,17496.5,17504,882
2024.01.25,8:30,17503.88,17512.75,17497.13,17505.5,851
2024.01.25,9:00,17504.75,17528.63,17502.75,17514.88,1070
2024.01.25,9:30,17515.25,17519.75,17509.63,17509.88,970
2024.01.25,10:00,17509.13,17514,17483.88,17505.13,1843
2024.01.25,10:30,17504.75,17537.13,17502.13,17517.75,1429
2024.01.25,11:00,17518,17522.88,17498.25,17506.5,1462
2024.01.25,11:30,17506.13,17523,17505.25,17510.25,1210
2024.01.25,12:00,17509.63,17510.5,17495.75,17501,1189
2024.01.25,12:30,17500.88,17504.25,17492.88,17499.63,1055
2024.01.25,13:00,17499.38,17504.63,17492.5,17501.38,1109
2024.01.25,13:30,17501.25,17530.88,17497.25,17529.75,1475
2024.01.25,14:00,17530.38,17546.5,17518.63,17531.25,1332
2024.01.25,14:30,17530.13,17546.88,17516.63,17519.63,1163
2024.01.25,15:00,17520.25,17540.63,17518.75,17532.13,1547
2024.01.25,15:30,17531.88,17597,17496.75,17588.25,3440
2024.01.25,16:00,17589,17609.38,17580.13,17603.88,1928
2024.01.25,16:30,17605,17609.75,17541,17549.38,17062
2024.01.25,17:00,17549.75,17614.67,17530,17610.58,10978
2024.01.25,17:30,17610.96,17618.56,17558.02,17587.97,10553
2024.01.25,18:00,17588.47,17608.38,17565.22,17604.42,7257
2024.01.25,18:30,17605.04,17633.1,17585.71,17605.66,5580
2024.01.25,19:00,17606.4,17613.21,17550.05,17560.75,7112
2024.01.25,19:30,17561.12,17567.68,17515.03,17532.67,6064
2024.01.25,20:00,17533.16,17563.57,17493.05,17509.47,8634
2024.01.25,20:30,17509.96,17526.07,17452.95,17459.58,7094
2024.01.25,21:00,17458.71,17461.63,17423.64,17456.75,7977
2024.01.25,21:30,17457.12,17490.63,17439.48,17490.63,6080
2024.01.25,22:00,17490.14,17500.14,17472.96,17480.36,4944
2024.01.25,22:30,17480.86,17521.93,17474.92,17520.56,5540
2024.01.25,23:00,17521.05,17532.33,17470.14,17485.77,1952
2024.01.25,23:30,17485.53,17493.36,17462.03,17462.03,1059
2024.01.26,1:00,17454.09,17454.09,17413.98,17415.96,1214
2024.01.26,1:30,17416.71,17433.24,17415.22,17425.45,819
2024.01.26,2:00,17425.69,17433.02,17411.9,17419.36,1100
2024.01.26,2:30,17419.23,17428.32,17413.22,17413.46,821
2024.01.26,3:00,17412.84,17412.84,17392.78,17403.98,1204
2024.01.26,3:30,17404.72,17404.72,17391.99,17402.55,1072
2024.01.26,4:00,17402.3,17418.59,17402.3,17416.62,828
2024.01.26,4:30,17416.74,17422.95,17400.19,17401.8,742
2024.01.26,5:00,17401.68,17410.11,17401.06,17403.97,802
2024.01.26,5:30,17403.72,17410.09,17396.8,17400.81,748
2024.01.26,6:00,17401.3,17402.54,17379.16,17383.76,812
2024.01.26,6:30,17382.89,17389.71,17367.43,17374.89,863
2024.01.26,7:00,17374.77,17398.11,17373.4,17395.28,859
2024.01.26,7:30,17399.87,17406.77,17389.93,17390.43,913
2024.01.26,8:00,17390.92,17392.54,17364.42,17373.75,1105
2024.01.26,8:30,17373.25,17389.92,17365.32,17384.47,1037
2024.01.26,9:00,17385.09,17395.83,17370.12,17381.56,1220
2024.01.26,9:30,17381.43,17385.65,17352.62,17355.23,1273
2024.01.26,10:00,17355.35,17375.28,17350.52,17366.88,1781
2024.01.26,10:30,17367.13,17380.53,17364.92,17367.68,1313
2024.01.26,11:00,17368.3,17390.55,17352.54,17389.81,1348
2024.01.26,11:30,17390.31,17416.75,17380.65,17416,1294
2024.01.26,12:00,17418.86,17430.32,17402.14,17427.72,1313
2024.01.26,12:30,17427.59,17429.49,17409.42,17418.11,1151
2024.01.26,13:00,17418.48,17425.73,17404.79,17425.24,1103
2024.01.26,13:30,17427.84,17438.81,17419.1,17436.58,1139
2024.01.26,14:00,17435.83,17465.63,17432.36,17461.44,1283
2024.01.26,14:30,17460.82,17473.73,17447.7,17449.69,1208
2024.01.26,15:00,17449.81,17470.92,17444.91,17452.6,1444
2024.01.26,15:30,17451.98,17495.05,17422.98,17481.43,3571
2024.01.26,16:00,17481.67,17482.29,17418.11,17442.92,2138
2024.01.26,16:30,17442.8,17456.21,17403.67,17435.29,17729
2024.01.26,17:00,17433.68,17468.92,17391.42,17466.81,12294
2024.01.26,17:30,17467.67,17512.99,17465.14,17512.99,6151
2024.01.26,18:00,17512.62,17515.84,17481.38,17496.79,5694
2024.01.26,18:30,17497.29,17510.17,17464.48,17495.85,5101
2024.01.26,19:00,17496.22,17517.21,17479.91,17484.62,4417
2024.01.26,19:30,17484,17484.37,17402.38,17414.47,6366
2024.01.26,20:00,17414.34,17435.28,17400.42,17429.15,4599
2024.01.26,20:30,17428.78,17434.67,17390.57,17405.28,4908
2024.01.26,21:00,17405.65,17431.63,17402.92,17415.57,4024
2024.01.26,21:30,17416.07,17459.43,17400.8,17448.17,4333
2024.01.26,22:00,17448.66,17453.01,17420.95,17425.16,3509
2024.01.26,22:30,17424.79,17429.74,17402.89,17416.63,4301
2024.01.26,23:00,17417.38,17419.38,17395.88,17398,1069
2024.01.26,23:30,17397.88,17398,17384.75,17392.63,747
2024.01.29,1:00,17389.38,17389.38,17345.63,17376.63,1568
2024.01.29,1:30,17375.63,17377.75,17362.25,17367.63,992
2024.01.29,2:00,17368.25,17377.63,17367.13,17368.63,951
2024.01.29,2:30,17368.25,17386.25,17367.5,17383.88,765
2024.01.29,3:00,17384.5,17420.5,17384.38,17414.5,951
2024.01.29,3:30,17415.25,17425.63,17414.88,17424.5,961
2024.01.29,4:00,17425.13,17428.5,17412.5,17418.25,827
2024.01.29,4:30,17417.88,17423.75,17414.13,17422.75,665
2024.01.29,5:00,17423,17434.75,17413.5,17416.25,761
2024.01.29,5:30,17416.13,17428.38,17412.13,17427.25,725
2024.01.29,6:00,17427.5,17428.5,17418.13,17422.38,602
2024.01.29,6:30,17422.25,17424.75,17418.25,17418.88,501
2024.01.29,7:00,17418.75,17424,17413.63,17417.25,702
2024.01.29,7:30,17417,17422.75,17415.63,17420.38,624
2024.01.29,8:00,17421,17436.88,17417.63,17432.5,755
2024.01.29,8:30,17432,17440.88,17429,17433.5,697
2024.01.29,9:00,17432.88,17443,17429.25,17437,839
